IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
222.114.29.162,39123,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,378,4.88
121.177.79.245,39593,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,388,4.85
49.161.100.250,39471,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,392,4.84
121.166.49.104,37363,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,400,4.80
220.85.149.130,39179,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,426,4.78
61.74.226.42,36945,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,402,4.77
222.102.190.56,37271,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,506,4.76
64.110.73.13,50829,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,325,4.71
106.241.165.67,39259,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,396,4.71
49.174.29.56,37691,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,398,4.70
121.173.93.124,37370,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,408,4.70
115.91.95.202,39199,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,407,4.70
14.44.61.169,38061,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,366,4.68
123.100.185.50,38819,TRUE,KIX,JP,Asia Pacific,Osaka,38673,Korea Cable TV Kwangju Broadcasting,421,4.67
122.35.111.172,36643,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,401,4.65
125.136.110.133,37178,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,410,4.65
222.114.29.162,36678,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,376,4.64
175.209.37.180,39549,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,407,4.62
147.78.247.110,50027,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,597,4.61
121.172.184.114,39239,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,408,4.61
106.252.227.66,38369,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,406,4.58
121.158.73.87,36845,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,408,4.58
220.86.116.220,38728,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,387,4.58
221.167.42.139,37593,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,471,4.57
121.187.150.43,36862,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,384,4.57
222.114.107.153,37135,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,458,4.56
58.150.124.213,36479,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,417,4.51
118.222.33.248,36306,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,316,4.48
222.104.197.149,37512,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,386,4.47
106.252.227.66,39692,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,408,4.46
45.149.156.48,50013,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,792,4.46
220.86.116.220,37775,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,406,4.45
106.242.64.238,36473,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,390,4.45
211.34.128.156,38637,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,417,4.45
211.248.217.7,37412,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,367,4.44
220.70.23.45,38723,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,434,4.39
112.219.136.229,36470,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,425,4.38
211.250.13.224,39241,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,506,4.37
183.97.62.155,37441,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,426,4.37
221.161.19.212,39314,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,378,4.37
220.81.132.214,39670,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,383,4.35
130.162.155.205,45742,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,398,4.35
222.96.68.2,39242,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,391,4.35
58.151.95.245,36657,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,433,4.30
121.175.54.166,38781,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,386,4.28
146.56.146.8,43265,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,358,4.26
61.73.152.230,38022,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,396,4.25
1.221.115.142,38928,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,447,4.23
124.54.215.61,37771,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,400,4.23
1.220.161.218,38506,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,422,4.23
211.251.204.117,38950,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,394,4.22
220.118.210.239,39766,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,438,4.22
121.176.33.148,37171,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,368,4.22
221.166.234.169,37835,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,377,4.20
182.225.8.184,37434,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,444,4.20
112.152.52.240,36285,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,402,4.19
121.182.66.134,38258,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,461,4.19
106.252.227.66,38834,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,383,4.18
121.161.238.47,39633,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,401,4.18
222.102.190.56,36753,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,405,4.15
112.219.136.229,38146,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,452,4.15
115.91.95.202,36610,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,412,4.14
211.250.13.224,39517,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,395,4.13
112.152.52.240,36691,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,423,4.10
59.17.109.133,39180,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,416,4.09
58.151.95.245,39598,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,443,4.09
118.43.62.137,36991,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,427,4.05
59.5.68.223,39305,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,408,4.04
121.66.75.13,36107,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,426,4.04
112.220.156.234,45013,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,453,4.00
121.163.220.247,39966,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,447,4.00
221.164.43.248,39504,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,402,3.99
211.185.1.86,37506,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,393,3.99
119.201.234.228,39394,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,354,3.99
61.39.134.249,39838,TRUE,HKG,HK,Asia Pacific,Hong Kong,3786,LG DACOM Corporation,468,3.98
211.250.13.224,39696,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,428,3.97
58.151.95.245,39400,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,505,3.95
121.182.66.134,39732,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,386,3.95
59.22.44.19,37204,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,374,3.95
221.161.19.212,39124,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,386,3.95
211.248.90.230,38161,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,420,3.94
59.22.44.19,39310,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,370,3.93
112.219.136.229,39825,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,424,3.92
112.152.248.81,36352,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,387,3.90
49.170.219.179,38207,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,410,3.90
61.76.54.186,39480,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,378,3.89
125.139.225.100,39556,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,390,3.88
61.84.231.128,36767,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,724,3.88
118.40.232.24,36278,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,391,3.86
221.161.19.212,36413,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,399,3.86
117.110.5.245,38684,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,411,3.86
220.83.127.148,39101,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,424,3.86
106.252.227.66,36848,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,409,3.85
59.22.44.19,39703,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,362,3.84
211.250.13.224,38851,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,410,3.84
122.199.106.94,45014,TRUE,ICN,KR,Asia Pacific,Seoul,9981,Saero Network Service LTD,289,3.84
175.211.245.51,38341,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,388,3.83
221.159.203.188,39669,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,422,3.83
221.161.19.212,36885,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,390,3.82
221.159.203.188,39437,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,439,3.82
59.22.44.19,38010,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,382,3.82
220.95.88.177,39241,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,318,3.82
211.250.134.12,36118,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,421,3.81
221.159.203.188,38184,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,402,3.81
221.154.46.162,39370,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,410,3.81
118.40.129.200,39657,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,614,3.81
125.136.110.133,38056,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,395,3.80
210.179.134.39,37994,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,422,3.78
152.70.100.102,58312,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,469,3.77
61.73.152.230,37237,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,397,3.76
150.230.214.172,36734,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,520,3.76
183.100.81.229,38661,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,439,3.74
222.113.255.205,36945,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,385,3.74
221.166.248.108,39019,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,398,3.73
45.66.128.148,47998,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,527,3.71
59.17.109.133,37383,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,432,3.71
210.179.134.39,37769,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,400,3.70
